model-1577495273,1577495316.488,0.74,0.2055,0.66,0.211
model-1577495273,1577495316.611,0.7,0.1995,0.69,0.2075
model-1577495273,1577495316.734,0.7,0.21,0.68,0.2123
model-1577495273,1577495316.857,0.64,0.2108,0.68,0.2106
model-1577495273,1577495316.98,0.68,0.2026,0.67,0.2091
model-1577495273,1577495317.102,0.63,0.2396,0.66,0.2097
model-1577495273,1577495317.224,0.76,0.185,0.65,0.2133
model-1577495273,1577495317.352,0.64,0.2176,0.65,0.2165
model-1577495273,1577495317.475,0.67,0.2091,0.65,0.217
model-1577495273,1577495317.598,0.63,0.224,0.65,0.2171
model-1577495273,1577495317.724,0.71,0.1906,0.64,0.2123
model-1577495273,1577495317.847,0.71,0.2055,0.64,0.2109
model-1577495273,1577495317.97,0.7,0.1888,0.67,0.21
model-1577495273,1577495318.095,0.66,0.2124,0.7,0.2099
model-1577495273,1577495318.218,0.68,0.2023,0.72,0.2105
model-1577495273,1577495318.342,0.58,0.2157,0.7,0.2114
model-1577495273,1577495318.466,0.73,0.1836,0.69,0.2151
model-1577495273,1577495318.588,0.67,0.1923,0.69,0.2165
model-1577495273,1577495318.711,0.77,0.1752,0.7,0.2132
model-1577495273,1577495318.833,0.61,0.2302,0.76,0.2114
model-1577495273,1577495318.955,0.74,0.1948,0.75,0.21
model-1577495273,1577495319.079,0.69,0.2,0.73,0.2082
model-1577495273,1577495319.203,0.69,0.2063,0.71,0.2054
model-1577495273,1577495319.336,0.7,0.1958,0.71,0.2031
model-1577495273,1577495319.462,0.65,0.2192,0.69,0.2023
model-1577495273,1577495319.586,0.73,0.1965,0.69,0.2011
model-1577495273,1577495319.712,0.77,0.1731,0.68,0.2014
model-1577495273,1577495319.835,0.66,0.2087,0.68,0.2026
model-1577495273,1577495319.958,0.64,0.2224,0.67,0.2031
model-1577495273,1577495320.083,0.68,0.2155,0.67,0.2036
model-1577495273,1577495320.208,0.75,0.1981,0.69,0.2044
model-1577495273,1577495320.331,0.69,0.1996,0.7,0.2054
model-1577495273,1577495320.468,0.81,0.1775,0.71,0.2059
model-1577495273,1577495320.593,0.68,0.2117,0.67,0.2051
model-1577495273,1577495320.716,0.67,0.2039,0.65,0.2097
model-1577495273,1577495320.846,0.71,0.1912,0.64,0.2133
model-1577495273,1577495320.97,0.6,0.2479,0.69,0.2099
model-1577495273,1577495321.094,0.66,0.204,0.58,0.2448
model-1577495273,1577495321.217,0.66,0.2223,0.6,0.2433
model-1577495273,1577495321.341,0.64,0.2248,0.65,0.2156
model-1577495273,1577495321.466,0.66,0.2265,0.67,0.215
model-1577495273,1577495321.61,0.67,0.1962,0.64,0.2307
model-1577495273,1577495321.761,0.63,0.2266,0.61,0.2386
model-1577495273,1577495321.9,0.56,0.2559,0.63,0.2242
model-1577495273,1577495322.051,0.71,0.1928,0.66,0.2155
model-1577495273,1577495322.182,0.63,0.2192,0.63,0.2197
model-1577495273,1577495322.34,0.63,0.2142,0.58,0.2253
model-1577495273,1577495322.464,0.62,0.2252,0.61,0.2276
model-1577495273,1577495322.603,0.59,0.2367,0.63,0.2239
model-1577495273,1577495322.755,0.67,0.2122,0.6,0.2187
model-1577495273,1577495322.88,0.66,0.2188,0.63,0.2153
model-1577495273,1577495323.024,0.69,0.2162,0.69,0.2133
model-1577495273,1577495323.177,0.67,0.2119,0.65,0.2131
model-1577495273,1577495323.3,0.59,0.2349,0.66,0.2129
model-1577495273,1577495323.424,0.68,0.2063,0.68,0.2111
model-1577495273,1577495323.565,0.67,0.1957,0.68,0.2091
model-1577495273,1577495323.715,0.67,0.1934,0.74,0.2072
model-1577495273,1577495323.839,0.72,0.1944,0.69,0.2065
model-1577495273,1577495323.962,0.7,0.1937,0.71,0.2068
model-1577495273,1577495324.1,0.73,0.1871,0.66,0.211
model-1577495273,1577495324.248,0.7,0.1927,0.63,0.2129
model-1577495273,1577495324.372,0.77,0.1667,0.63,0.2121
model-1577495273,1577495324.496,0.71,0.2061,0.65,0.2114
model-1577495273,1577495324.619,0.66,0.2309,0.67,0.2067
model-1577495273,1577495324.754,0.7,0.2061,0.68,0.2059
model-1577495273,1577495324.9,0.68,0.1978,0.7,0.2048
model-1577495273,1577495325.053,0.67,0.2134,0.69,0.2024
model-1577495273,1577495325.195,0.69,0.1938,0.69,0.2028
model-1577495273,1577495325.368,0.64,0.2093,0.69,0.2073
model-1577495273,1577495325.494,0.66,0.2172,0.66,0.2049
model-1577495273,1577495325.651,0.7,0.196,0.68,0.2
model-1577495273,1577495325.784,0.63,0.2077,0.7,0.1937
model-1577495273,1577495325.91,0.69,0.1903,0.75,0.1892
model-1577495273,1577495326.076,0.74,0.193,0.76,0.1864
model-1577495273,1577495326.214,0.72,0.2003,0.76,0.1844
model-1577495273,1577495326.34,0.57,0.2398,0.75,0.1831
model-1577495273,1577495326.484,0.64,0.2326,0.75,0.1827
model-1577495273,1577495326.635,0.8,0.1577,0.72,0.1858
model-1577495273,1577495326.761,0.62,0.2248,0.72,0.1887
model-1577495273,1577495326.888,0.73,0.173,0.73,0.1869
model-1577495273,1577495327.016,0.69,0.2053,0.75,0.1868
model-1577495273,1577495327.142,0.67,0.1958,0.7,0.1957
model-1577495273,1577495327.28,0.66,0.212,0.7,0.195
model-1577495273,1577495327.407,0.77,0.1713,0.74,0.1915
model-1577495273,1577495327.535,0.74,0.1691,0.62,0.2093
model-1577495273,1577495327.666,0.76,0.1867,0.59,0.2449
model-1577495273,1577495327.79,0.63,0.2612,0.59,0.2417
model-1577495273,1577495327.914,0.75,0.1849,0.57,0.2215
model-1577495273,1577495328.041,0.66,0.213,0.7,0.1955
model-1577495273,1577495328.167,0.74,0.1738,0.74,0.1927
model-1577495273,1577495328.294,0.74,0.1629,0.68,0.2066
model-1577495273,1577495328.419,0.6,0.2506,0.69,0.2011
model-1577495273,1577495328.543,0.72,0.2057,0.74,0.1889
model-1577495273,1577495328.665,0.71,0.2132,0.66,0.2004
model-1577495273,1577495328.793,0.55,0.2398,0.61,0.2259
model-1577495273,1577495328.918,0.52,0.2585,0.61,0.2263
model-1577495273,1577495329.044,0.52,0.2742,0.6,0.2208
model-1577495273,1577495329.168,0.64,0.2204,0.62,0.2165
model-1577495273,1577495329.294,0.62,0.2136,0.62,0.216
model-1577495273,1577495329.417,0.68,0.2081,0.67,0.2176
model-1577495273,1577495329.542,0.7,0.1944,0.67,0.2221
model-1577495273,1577495329.679,0.72,0.2123,0.64,0.227
model-1577495273,1577495329.804,0.66,0.2271,0.63,0.2291
model-1577495273,1577495329.929,0.6,0.2204,0.65,0.2283
model-1577495273,1577495330.054,0.73,0.1904,0.66,0.227
model-1577495273,1577495330.181,0.66,0.214,0.66,0.2252
model-1577495273,1577495330.304,0.66,0.2153,0.66,0.2231
model-1577495273,1577495330.43,0.71,0.1966,0.63,0.221
model-1577495273,1577495330.555,0.68,0.1993,0.62,0.2202
model-1577495273,1577495330.681,0.63,0.2084,0.63,0.2195
model-1577495273,1577495330.806,0.72,0.1979,0.63,0.2185
model-1577495273,1577495330.932,0.78,0.1689,0.64,0.2181
model-1577495273,1577495331.058,0.62,0.2209,0.65,0.2166
model-1577495273,1577495331.184,0.68,0.2238,0.63,0.2138
model-1577495273,1577495331.31,0.7,0.1982,0.65,0.2111
model-1577495273,1577495331.436,0.66,0.2204,0.66,0.2077
model-1577495273,1577495331.561,0.69,0.221,0.66,0.2048
model-1577495273,1577495331.688,0.74,0.1906,0.71,0.2007
model-1577495273,1577495331.814,0.68,0.1939,0.71,0.1979
model-1577495273,1577495331.941,0.59,0.2508,0.72,0.1954
model-1577495273,1577495332.067,0.66,0.2009,0.75,0.1958
model-1577495273,1577495332.192,0.75,0.1892,0.74,0.195
model-1577495273,1577495332.331,0.68,0.2114,0.72,0.195
model-1577495273,1577495332.458,0.67,0.199,0.7,0.1943
model-1577495273,1577495332.582,0.73,0.1973,0.7,0.1945
model-1577495273,1577495332.709,0.78,0.17,0.71,0.1992
model-1577495273,1577495332.834,0.79,0.173,0.68,0.203
model-1577495273,1577495332.96,0.63,0.2242,0.71,0.2012
model-1577495273,1577495333.085,0.73,0.198,0.69,0.1994
model-1577495273,1577495333.217,0.72,0.2076,0.68,0.2059
model-1577495273,1577495333.341,0.71,0.186,0.63,0.2242
model-1577495273,1577495333.465,0.71,0.1828,0.6,0.2414
model-1577495273,1577495333.589,0.57,0.2531,0.62,0.2331
model-1577495273,1577495333.715,0.64,0.2079,0.62,0.2204
model-1577495273,1577495333.838,0.8,0.1523,0.63,0.2115
model-1577495273,1577495333.963,0.67,0.2033,0.65,0.2087
model-1577495273,1577495334.086,0.69,0.1974,0.66,0.2116
model-1577495273,1577495334.212,0.7,0.1991,0.66,0.2098
model-1577495273,1577495334.336,0.69,0.1939,0.67,0.2089
model-1577495273,1577495334.46,0.69,0.1935,0.67,0.2036
model-1577495273,1577495334.584,0.73,0.169,0.69,0.2022
